Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,2,0.01,0.01,0.24956879494501322
100% Corpus,2,0.01,0.31,0.2495687949450132
100% Corpus,2,0.01,0.61,0.2495687949450132
100% Corpus,2,0.01,0.9099999999999999,0.2495687949450132
100% Corpus,2,0.01,symmetric,0.2495687949450132
100% Corpus,2,0.31,0.01,0.2495687949450132
100% Corpus,2,0.31,0.31,0.2495687949450132
100% Corpus,2,0.31,0.61,0.2495687949450132
100% Corpus,2,0.31,0.9099999999999999,0.2495687949450132
100% Corpus,2,0.31,symmetric,0.2495687949450132
100% Corpus,2,0.61,0.01,0.2506373903229959
100% Corpus,2,0.61,0.31,0.2506373903229959
100% Corpus,2,0.61,0.61,0.2506373903229959
100% Corpus,2,0.61,0.9099999999999999,0.2495687949450132
100% Corpus,2,0.61,symmetric,0.2506373903229959
100% Corpus,2,0.9099999999999999,0.01,0.2510938883544336
100% Corpus,2,0.9099999999999999,0.31,0.2506373903229959
100% Corpus,2,0.9099999999999999,0.61,0.2506373903229959
100% Corpus,2,0.9099999999999999,0.9099999999999999,0.2506373903229959
100% Corpus,2,0.9099999999999999,symmetric,0.2506373903229959
100% Corpus,2,symmetric,0.01,0.2506373903229959
100% Corpus,2,symmetric,0.31,0.2495687949450132
100% Corpus,2,symmetric,0.61,0.2495687949450132
100% Corpus,2,symmetric,0.9099999999999999,0.24956879494501322
100% Corpus,2,symmetric,symmetric,0.2495687949450132
100% Corpus,2,asymmetric,0.01,0.24956879494501324
100% Corpus,2,asymmetric,0.31,0.24956879494501324
100% Corpus,2,asymmetric,0.61,0.24956879494501324
100% Corpus,2,asymmetric,0.9099999999999999,0.24956879494501324
100% Corpus,2,asymmetric,symmetric,0.24956879494501324
100% Corpus,3,0.01,0.01,0.23919596353249897
100% Corpus,3,0.01,0.31,0.23666831483647918
100% Corpus,3,0.01,0.61,0.23666831483647918
100% Corpus,3,0.01,0.9099999999999999,0.23568409274836144
100% Corpus,3,0.01,symmetric,0.23666831483647913
100% Corpus,3,0.31,0.01,0.2395508824159366
100% Corpus,3,0.31,0.31,0.23686992248597785
100% Corpus,3,0.31,0.61,0.23686992248597782
100% Corpus,3,0.31,0.9099999999999999,0.23686992248597782
100% Corpus,3,0.31,symmetric,0.23686992248597785
100% Corpus,3,0.61,0.01,0.2385884972102309
100% Corpus,3,0.61,0.31,0.23857091444931103
100% Corpus,3,0.61,0.61,0.23944178726091972
100% Corpus,3,0.61,0.9099999999999999,0.23889673729274996
100% Corpus,3,0.61,symmetric,0.238570914449311
100% Corpus,3,0.9099999999999999,0.01,0.2358479115749663
100% Corpus,3,0.9099999999999999,0.31,0.2372214432698531
100% Corpus,3,0.9099999999999999,0.61,0.24105377070747958
100% Corpus,3,0.9099999999999999,0.9099999999999999,0.238570914449311
100% Corpus,3,0.9099999999999999,symmetric,0.2372214432698531
100% Corpus,3,symmetric,0.01,0.2385884972102309
100% Corpus,3,symmetric,0.31,0.23686992248597785
100% Corpus,3,symmetric,0.61,0.23686992248597782
100% Corpus,3,symmetric,0.9099999999999999,0.23686992248597782
100% Corpus,3,symmetric,symmetric,0.23686992248597785
100% Corpus,3,asymmetric,0.01,0.2402261182792229
100% Corpus,3,asymmetric,0.31,0.2417201788141796
100% Corpus,3,asymmetric,0.61,0.24394937106059236
100% Corpus,3,asymmetric,0.9099999999999999,0.24383296443539101
100% Corpus,3,asymmetric,symmetric,0.2417201788141796
100% Corpus,4,0.01,0.01,0.24026257817335622
100% Corpus,4,0.01,0.31,0.24026257817335628
100% Corpus,4,0.01,0.61,0.23889271755759345
100% Corpus,4,0.01,0.9099999999999999,0.2451242304180573
100% Corpus,4,0.01,symmetric,0.24026257817335628
100% Corpus,4,0.31,0.01,0.2409373188556575
100% Corpus,4,0.31,0.31,0.24389413040556326
100% Corpus,4,0.31,0.61,0.24419562657964167
100% Corpus,4,0.31,0.9099999999999999,0.24393277135186497
100% Corpus,4,0.31,symmetric,0.2438941304055633
100% Corpus,4,0.61,0.01,0.2423902361614649
100% Corpus,4,0.61,0.31,0.24602090003235957
100% Corpus,4,0.61,0.61,0.24659615337737598
100% Corpus,4,0.61,0.9099999999999999,0.24465323931940286
100% Corpus,4,0.61,symmetric,0.2459007184512085
100% Corpus,4,0.9099999999999999,0.01,0.24550472460472272
100% Corpus,4,0.9099999999999999,0.31,0.24521422825434736
100% Corpus,4,0.9099999999999999,0.61,0.24570635401311613
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.24604998970827335
100% Corpus,4,0.9099999999999999,symmetric,0.2452142282543474
100% Corpus,4,symmetric,0.01,0.2409373188556575
100% Corpus,4,symmetric,0.31,0.2438941304055633
100% Corpus,4,symmetric,0.61,0.24419562657964167
100% Corpus,4,symmetric,0.9099999999999999,0.24417518730072119
100% Corpus,4,symmetric,symmetric,0.2438941304055633
100% Corpus,4,asymmetric,0.01,0.24655502411942282
100% Corpus,4,asymmetric,0.31,0.24242464125876706
100% Corpus,4,asymmetric,0.61,0.242424641258767
100% Corpus,4,asymmetric,0.9099999999999999,0.24239614682856847
100% Corpus,4,asymmetric,symmetric,0.24242464125876703
100% Corpus,5,0.01,0.01,0.23914135192674438
100% Corpus,5,0.01,0.31,0.24193693541925904
100% Corpus,5,0.01,0.61,0.23909081916184438
100% Corpus,5,0.01,0.9099999999999999,0.23835812822903796
100% Corpus,5,0.01,symmetric,0.23940149339658925
100% Corpus,5,0.31,0.01,0.24320622208228757
100% Corpus,5,0.31,0.31,0.24253983784295663
100% Corpus,5,0.31,0.61,0.24253983784295663
100% Corpus,5,0.31,0.9099999999999999,0.24027533743520763
100% Corpus,5,0.31,symmetric,0.24389326212448365
100% Corpus,5,0.61,0.01,0.24385942020038356
100% Corpus,5,0.61,0.31,0.24523056372071578
100% Corpus,5,0.61,0.61,0.24502492273617044
100% Corpus,5,0.61,0.9099999999999999,0.24470003325578218
100% Corpus,5,0.61,symmetric,0.24497460483736888
100% Corpus,5,0.9099999999999999,0.01,0.24396863511525
100% Corpus,5,0.9099999999999999,0.31,0.2454332000846604
100% Corpus,5,0.9099999999999999,0.61,0.24554812045226124
100% Corpus,5,0.9099999999999999,0.9099999999999999,0.24300047477603554
100% Corpus,5,0.9099999999999999,symmetric,0.24452780224799286
100% Corpus,5,symmetric,0.01,0.24320622208228757
100% Corpus,5,symmetric,0.31,0.24253983784295668
100% Corpus,5,symmetric,0.61,0.2404099720097904
100% Corpus,5,symmetric,0.9099999999999999,0.23850835333086584
100% Corpus,5,symmetric,symmetric,0.24246583003309471
100% Corpus,5,asymmetric,0.01,0.24174872993215932
100% Corpus,5,asymmetric,0.31,0.24463465531936998
100% Corpus,5,asymmetric,0.61,0.2439249007511029
100% Corpus,5,asymmetric,0.9099999999999999,0.24458194557456378
100% Corpus,5,asymmetric,symmetric,0.24331672392404657
100% Corpus,6,0.01,0.01,0.23431973298094674
100% Corpus,6,0.01,0.31,0.23594264483558533
100% Corpus,6,0.01,0.61,0.23950804848380267
100% Corpus,6,0.01,0.9099999999999999,0.24381638069728662
100% Corpus,6,0.01,symmetric,0.2348284068569028
100% Corpus,6,0.31,0.01,0.23779820750518565
100% Corpus,6,0.31,0.31,0.23948573573974666
100% Corpus,6,0.31,0.61,0.24041237676763025
100% Corpus,6,0.31,0.9099999999999999,0.2425184956021492
100% Corpus,6,0.31,symmetric,0.2359143578119476
100% Corpus,6,0.61,0.01,0.23682320723854855
100% Corpus,6,0.61,0.31,0.2375632265268012
100% Corpus,6,0.61,0.61,0.2418580670394593
100% Corpus,6,0.61,0.9099999999999999,0.2419374740887175
100% Corpus,6,0.61,symmetric,0.23687249390351647
100% Corpus,6,0.9099999999999999,0.01,0.23822625122912222
100% Corpus,6,0.9099999999999999,0.31,0.24004808136662548
100% Corpus,6,0.9099999999999999,0.61,0.24136140364818193
100% Corpus,6,0.9099999999999999,0.9099999999999999,0.24358854268855692
100% Corpus,6,0.9099999999999999,symmetric,0.23755604445835132
100% Corpus,6,symmetric,0.01,0.23619816296365845
100% Corpus,6,symmetric,0.31,0.23914645795155978
100% Corpus,6,symmetric,0.61,0.2373921570127415
100% Corpus,6,symmetric,0.9099999999999999,0.2417893583613799
100% Corpus,6,symmetric,symmetric,0.2348001776127797
100% Corpus,6,asymmetric,0.01,0.2358875997340842
100% Corpus,6,asymmetric,0.31,0.23943817193345351
100% Corpus,6,asymmetric,0.61,0.24677547549150583
100% Corpus,6,asymmetric,0.9099999999999999,0.25303525579191777
100% Corpus,6,asymmetric,symmetric,0.23675534343621255
100% Corpus,7,0.01,0.01,0.23296687009477476
100% Corpus,7,0.01,0.31,0.23791026014160938
100% Corpus,7,0.01,0.61,0.2360893377479238
100% Corpus,7,0.01,0.9099999999999999,0.23942866334929752
100% Corpus,7,0.01,symmetric,0.235033776998379
100% Corpus,7,0.31,0.01,0.23685904263759117
100% Corpus,7,0.31,0.31,0.23811778647562162
100% Corpus,7,0.31,0.61,0.23601751960367884
100% Corpus,7,0.31,0.9099999999999999,0.24077321855115502
100% Corpus,7,0.31,symmetric,0.23566562822443737
100% Corpus,7,0.61,0.01,0.23558610561472038
100% Corpus,7,0.61,0.31,0.23681319375860044
100% Corpus,7,0.61,0.61,0.2373540980565402
100% Corpus,7,0.61,0.9099999999999999,0.23536013957939245
100% Corpus,7,0.61,symmetric,0.23544838417405847
100% Corpus,7,0.9099999999999999,0.01,0.23650936975720785
100% Corpus,7,0.9099999999999999,0.31,0.23763008765984833
100% Corpus,7,0.9099999999999999,0.61,0.2393298712174831
100% Corpus,7,0.9099999999999999,0.9099999999999999,0.2363706258013764
100% Corpus,7,0.9099999999999999,symmetric,0.23520591608354582
100% Corpus,7,symmetric,0.01,0.23381760109986863
100% Corpus,7,symmetric,0.31,0.23895137584094797
100% Corpus,7,symmetric,0.61,0.23639261378819657
100% Corpus,7,symmetric,0.9099999999999999,0.23952976999661155
100% Corpus,7,symmetric,symmetric,0.2364865250445242
100% Corpus,7,asymmetric,0.01,0.2374391309842375
100% Corpus,7,asymmetric,0.31,0.24085089493310283
100% Corpus,7,asymmetric,0.61,0.24320506654387594
100% Corpus,7,asymmetric,0.9099999999999999,0.24471084007983188
100% Corpus,7,asymmetric,symmetric,0.24119566163220077
100% Corpus,8,0.01,0.01,0.23679562911395263
100% Corpus,8,0.01,0.31,0.2348444517455094
100% Corpus,8,0.01,0.61,0.24170192362397563
100% Corpus,8,0.01,0.9099999999999999,0.2357435425628677
100% Corpus,8,0.01,symmetric,0.23550375042778238
100% Corpus,8,0.31,0.01,0.2356913331047762
100% Corpus,8,0.31,0.31,0.23909550181334435
100% Corpus,8,0.31,0.61,0.24249584448410766
100% Corpus,8,0.31,0.9099999999999999,0.23962671530973495
100% Corpus,8,0.31,symmetric,0.23538698675819694
100% Corpus,8,0.61,0.01,0.23707563755793182
100% Corpus,8,0.61,0.31,0.2397260868472275
100% Corpus,8,0.61,0.61,0.24206852041160776
100% Corpus,8,0.61,0.9099999999999999,0.24117064462643562
100% Corpus,8,0.61,symmetric,0.23705257199382374
100% Corpus,8,0.9099999999999999,0.01,0.2377821788832951
100% Corpus,8,0.9099999999999999,0.31,0.23914926760032612
100% Corpus,8,0.9099999999999999,0.61,0.2428923178640529
100% Corpus,8,0.9099999999999999,0.9099999999999999,0.24569880218254503
100% Corpus,8,0.9099999999999999,symmetric,0.23684748410118278
100% Corpus,8,symmetric,0.01,0.23677331420580275
100% Corpus,8,symmetric,0.31,0.23720500618947005
100% Corpus,8,symmetric,0.61,0.2409185114518238
100% Corpus,8,symmetric,0.9099999999999999,0.23602258634582207
100% Corpus,8,symmetric,symmetric,0.23586177076507306
100% Corpus,8,asymmetric,0.01,0.23296109626836364
100% Corpus,8,asymmetric,0.31,0.23708143872748982
100% Corpus,8,asymmetric,0.61,0.2351471219093664
100% Corpus,8,asymmetric,0.9099999999999999,0.25509591582974506
100% Corpus,8,asymmetric,symmetric,0.23439748988300535
100% Corpus,9,0.01,0.01,0.23284967288538663
100% Corpus,9,0.01,0.31,0.2332653992889715
100% Corpus,9,0.01,0.61,0.23591298215124099
100% Corpus,9,0.01,0.9099999999999999,0.25311817376160045
100% Corpus,9,0.01,symmetric,0.2320657138198775
100% Corpus,9,0.31,0.01,0.23554235177198793
100% Corpus,9,0.31,0.31,0.23802999166087024
100% Corpus,9,0.31,0.61,0.2379485605938511
100% Corpus,9,0.31,0.9099999999999999,0.24585317382358182
100% Corpus,9,0.31,symmetric,0.23607075674358732
100% Corpus,9,0.61,0.01,0.2360718618271122
100% Corpus,9,0.61,0.31,0.2383732918154503
100% Corpus,9,0.61,0.61,0.24053710363957684
100% Corpus,9,0.61,0.9099999999999999,0.24426614180906828
100% Corpus,9,0.61,symmetric,0.23777090372195783
100% Corpus,9,0.9099999999999999,0.01,0.23802531342172817
100% Corpus,9,0.9099999999999999,0.31,0.24182599038957664
