Validation_Set,Topics,Alpha,Beta,Coherence
100% Corpus,4,0.01,0.01,0.22528371949939038
100% Corpus,4,0.01,0.31,0.22973677859698943
100% Corpus,4,0.01,0.61,0.21916662388379476
100% Corpus,4,0.01,0.9099999999999999,0.22233551498788728
100% Corpus,4,0.01,symmetric,0.23016584804638354
100% Corpus,4,0.31,0.01,0.2557870544824469
100% Corpus,4,0.31,0.31,0.24928062051533606
100% Corpus,4,0.31,0.61,0.26430695128597265
100% Corpus,4,0.31,0.9099999999999999,0.2644307118483926
100% Corpus,4,0.31,symmetric,0.25410299454672763
100% Corpus,4,0.61,0.01,0.23022577289748714
100% Corpus,4,0.61,0.31,0.23514857508437817
100% Corpus,4,0.61,0.61,0.24392724268800503
100% Corpus,4,0.61,0.9099999999999999,0.24210959552416225
100% Corpus,4,0.61,symmetric,0.23514857508437817
100% Corpus,4,0.9099999999999999,0.01,0.21594336438804007
100% Corpus,4,0.9099999999999999,0.31,0.2111005945864483
100% Corpus,4,0.9099999999999999,0.61,0.22102636768200712
100% Corpus,4,0.9099999999999999,0.9099999999999999,0.22725732688984718
100% Corpus,4,0.9099999999999999,symmetric,0.21043874982151847
100% Corpus,4,symmetric,0.01,0.24925265060260873
100% Corpus,4,symmetric,0.31,0.23976702787375428
100% Corpus,4,symmetric,0.61,0.2555746103153751
100% Corpus,4,symmetric,0.9099999999999999,0.25697582017764625
100% Corpus,4,symmetric,symmetric,0.23995701697245062
100% Corpus,4,asymmetric,0.01,0.2344174209898468
100% Corpus,4,asymmetric,0.31,0.23271815463376527
100% Corpus,4,asymmetric,0.61,0.23756156307163812
100% Corpus,4,asymmetric,0.9099999999999999,0.24431402192599172
100% Corpus,4,asymmetric,symmetric,0.22718571137074672
100% Corpus,5,0.01,0.01,0.2805757329807214
100% Corpus,5,0.01,0.31,0.26274828943635226
100% Corpus,5,0.01,0.61,0.2698816288265901
100% Corpus,5,0.01,0.9099999999999999,0.2718305863640973
100% Corpus,5,0.01,symmetric,0.27445457242384563
100% Corpus,5,0.31,0.01,0.2907133385466648
100% Corpus,5,0.31,0.31,0.28556849379648913
100% Corpus,5,0.31,0.61,0.2883936179148979
100% Corpus,5,0.31,0.9099999999999999,0.2855401334720861
100% Corpus,5,0.31,symmetric,0.28837354646423885
100% Corpus,5,0.61,0.01,0.28179391019208644
100% Corpus,5,0.61,0.31,0.2916996953840597
100% Corpus,5,0.61,0.61,0.2947927664598939
100% Corpus,5,0.61,0.9099999999999999,0.2956557788121556
100% Corpus,5,0.61,symmetric,0.2860807031143161
100% Corpus,5,0.9099999999999999,0.01,0.27656277307621846
100% Corpus,5,0.9099999999999999,0.31,0.28127968576655704
100% Corpus,5,0.9099999999999999,0.61,0.28127968576655704
